,company_name,ceo_name,headquarters_address,end_date,updated_date,edinet_updated_date,tdnet_updated_date,edinet_title,tdnet_title,accounting_standard,num_of_shares,issued_share_num,treasury_stock_num,assets,current_assets,cash_and_deposits,trade_receivables,notes_accounts_receivable,notes_receivable,accounts_receivable,current_securities,inventories,merchandise,work_in_process,raw_materials_and_supplies,prepaid_expenses,current_dta,current_allowance_doubtful_accounts,non_current_assets,tangible_fixed_assets,buildings,machineries,land,construction_in_progress,intangible_assets,good_will,investments_and_other_assets,investment_securities,non_current_dta,non_current_allowance_doubtful_accounts,lease_and_guarantee_deposits,liabilities,debt,current_liabilities,trade_payables,notes_accounts_payable,accounts_payable,notes_payable,short_term_bonds_payable,short_term_loans_payable,commercial_papers_liabilities,current_lease_obligations,current_portion_of_long_term_loans,current_portion_of_bonds,current_portion_of_convertible_bonds,current_portion_of_bonds_with_subscription_rights,advances_received,corporate_tax_payable,non_current_liabilities,bonds_payable,convertible_bonds,convertible_bond_type_bonds_with_subscription_rights,non_current_bonds_with_subscription_right,long_term_loans_payable,non_current_lease_obligations,non_current_dtl,net_assets,shareholders_equity,capital_stock,additional_capital_stock,retained_earnings,treasury_stock,valuation_and_translation_adjustments,non_controlling_interests,net_sales,cost_of_sales,gross_profit,gross_margin,sga,operating_income,operating_margin,non_operating_income,interest_and_dividends_income,interest_income,dividends_income,equity_method_income,non_operating_expenses,interest_expense,equity_method_loss,ordinary_income,extraordinary_income,gain_of_sales_non_current_assets,gain_of_sales_investment_securities,extraordinary_loss,loss_of_sales_non_current_assets,loss_of_valuation_investment_securities,impairment_loss,income_before_income_taxes,income_taxes,real_corporate_tax_rate,net_income,non_controling_interests,profit_loss_attributable_to_owners_of_parent,net_profit_margin,operating_cash_flow,income_before_taxes,depreciation,amortization,decrease_trade_receivables_op_cf,decrease_inventories_op_cf,increase_trade_payables_op_cf,investment_cash_flow,purchase_of_property,sale_of_property,purchase_of_intangible_assets,sale_of_intangible_assets,purchase_of_non_current_assets,sale_of_non_current_assets,purchase_of_securities,sale_of_securities,purchase_of_investment_securities,sale_of_investment_securities,lending,return_of_lending,financial_cash_flow,net_short_term_debt,long_term_debt_issuance,long_term_debt_repayment,bonds_issuance,bonds_repayment,share_repurchase,share_sales,dividend_payment,cash_translation_difference,free_cash_flow,ex_net_sales,ex_operating_income,ex_ordinary_income,ex_net_income,dividend,eps_actual,bps,ebitda_forecast,ebitda_actual,roe,real_roe,total_asset_turnover,financial_leverage,roa,roic,doe,net_sales_operating_cash_flow_ratio,sga_ratio,depreciation_gross_profit_ratio,r_and_d_ratio,interest_op_income_ratio,interest_coverage_ratio,net_sales_progress,operating_income_progress,net_income_progress,net_sales_growth_rate_forecast,operating_income_growth_rate_forecast,net_income_growth_rate_forecast,cash_assets_ratio,cash_monthly_sales_ratio,accounts_receivable_turnover,inventory_turnover,trade_payable_turnover,working_capital,ccc,tangible_fixed_assets_turnover,debt_assets_ratio,debt_monthly_sales_ratio,operating_cash_flow_debt_ratio,net_debt,adjusted_debt_ratio,de_ratio,current_ratio,net_debt_net_income_ratio,equity,equity_ratio,accrual,employee_num,net_sales_per_employee,operating_income_per_employee,segment_member,increase_in_properties,r_and_d_expenses,fiscal_year,fiscal_quarter,to_datetime
0,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2017-11-30T00:00:00.000Z,2018-01-10T12:00:00.000Z,2018-01-10T12:00:00.000Z,2018-01-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第7期第2四半期(平成29年9月1日－平成29年11月30日),【14300】ファーストコーポレーション株式会社 平成30年５月期　第２四半期決算短信〔日本基準〕（非連結） ,Japan GAAP,13352040.0,13352040.0,,13107832000.0,12966326000.0,6268042000.0,0.0,,,,,2742877000.0,,,,,,,141505000.0,37042000.0,,,,,28678000.0,,75784000.0,,,,,8759800000.0,3254000000.0,7925010000.0,0.0,,,,,1600000000.0,,,855000000.0,,,,66694000.0,339040000.0,834789000.0,,,,,799000000.0,,,4348032000.0,4336472000.0,726292000.0,684960000.0,2925218000.0,,,,10211097000.0,8732045000.0,1479052000.0,14.484751246609449,441949000.0,1037102000.0,10.156616864965635,3232000.0,,6000.0,,,10177000.0,10068000.0,,1030158000.0,,,,,,,,1030158000.0,324998000.0,31.54836442565121,705159000.0,,705159000.0,6.905810413905577,2824183000.0,1030158000.0,8342000.0,,-238414000.0,1273516000.0,579890000.0,11381000.0,-6400000.0,,,,,,,,,,,,-291750000.0,,400000000.0,,,,,,-491729000.0,,2830583000.0,27667000000.0,2442000000.0,2392000000.0,1653000000.0,,117.57049859047756,324.7797340331515,2450342000.0,1045444000.0,36.20007231685112,,1.5882476980174907,3.0226949464910646,11.976091851039897,20.852326442940573,11.700237428029052,27.657978373920063,4.328124588376744,0.5640099198675909,0.0,0.9707820445819215,103.00973381009138,36.90713485379694,42.46936936936937,42.659346642468236,170.95032002927795,135.4638213020513,134.41521699361422,47.81905962786218,3.6129673995474403,0.0,56.779129295277016,0.0,2742877000.0,56.779129295277016,562.0237568165866,24.824852805559303,1.8756408968107379,53.63620150201144,-3014042000.0,201.4658585769378,0.7503795712274863,163.61273992083292,-1.9200092240697257,4336472000.0,33.08306057019956,-2119024000.0,,,,,,,2017.0,2.0,2018-01-10 12:00:00+00:00
1,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2018-02-28T00:00:00.000Z,2018-04-10T12:00:00.000Z,2018-04-10T12:00:00.000Z,2018-04-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第7期第3四半期(平成29年12月1日－平成30年2月28日),【14300】ファーストコーポレーション株式会社 平成30年５月期第３四半期決算短信〔日本基準〕(非連結),Japan GAAP,13352040.0,13352040.0,,13849496000.0,13706333000.0,4592165000.0,0.0,,,,,3091769000.0,,,,,,,143162000.0,36325000.0,,,,,26507000.0,,80329000.0,,,,,9245934000.0,3254000000.0,8807536000.0,0.0,,,,,1600000000.0,,,1254000000.0,,,,101463000.0,128047000.0,438398000.0,,,,,400000000.0,,,4603561000.0,4592001000.0,726292000.0,684960000.0,3180748000.0,,,,14656911000.0,12569796000.0,2087115000.0,14.23980127872783,666337000.0,1420777000.0,9.693563671090041,6849000.0,,16000.0,,,15703000.0,15456000.0,,1411924000.0,,,,,,,,1411924000.0,451235000.0,31.958873140480648,960689000.0,,960689000.0,6.554512066014456,,1411924000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,23080000000.0,2442000000.0,2392000000.0,1653000000.0,,117.57049859047756,343.91755866519276,2442000000.0,1420777000.0,34.18566328709423,,1.503194340068404,3.016004569685416,11.334751820571666,20.17320670746792,11.04915961473005,0.0,4.546230784917777,0.0,0.0,1.0878554481104352,91.92397774327122,63.5048136915078,58.18087633087633,58.11790683605566,57.468377886718415,71.87778236838011,72.06400822742845,33.157632595438855,2.6469737181631476,0.0,64.00139408443373,0.0,3091769000.0,64.00139408443373,573.1172470750172,23.495439834056057,1.8756408968107379,53.63620150201144,-1338165000.0,200.84308647153802,0.7086235390628182,155.6205163396437,-0.8524397282211942,4592001000.0,33.15644843682398,960689000.0,,,,,,,2017.0,3.0,2018-04-10 12:00:00+00:00
3,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2018-08-31T00:00:00.000Z,2018-10-10T12:00:00.000Z,2018-10-10T12:00:00.000Z,2018-10-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第8期第1四半期(平成30年6月1日－平成30年8月31日),【14300】ファーストコーポレーション株式会社 平成31年５月期　第１四半期決算短信〔日本基準〕(非連結) ,Japan GAAP,13358540.0,13358540.0,,13706292000.0,13545745000.0,5850605000.0,0.0,,,,,2387392000.0,,,,,,,160546000.0,38500000.0,,,,,22559000.0,,99486000.0,,,,,8684205000.0,2049375000.0,8640860000.0,0.0,,,,,900000000.0,,,1147000000.0,,,,29787000.0,142266000.0,43344000.0,,,,,,2375000.0,,5022086000.0,5015466000.0,728769000.0,687430000.0,3599266000.0,,,,4553852000.0,3860319000.0,693532000.0,15.229568286365037,227548000.0,465984000.0,10.232743620126433,346000.0,,13000.0,,,2557000.0,2556000.0,,463772000.0,,,,,,,,463772000.0,146747000.0,31.64205687277369,317025000.0,,317025000.0,6.961688697832077,,463772000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,25018000000.0,2418000000.0,2396000000.0,1649000000.0,,95.49149832242146,375.45016146974143,2418000000.0,465984000.0,25.433867959627282,,1.3873903313894087,2.7328052866872192,9.306871617794222,18.096613922379852,10.121183555027589,0.0,4.996824666238604,0.0,0.0,0.5485166872682323,182.30985915492957,18.202302342313534,19.271464019851116,19.225288053365677,449.38105147027176,418.90193654717757,420.1482532923271,42.68554179350622,3.6920143519315363,0.0,53.993781469075266,0.0,2387392000.0,53.993781469075266,493.9214805194805,14.952074565462345,1.293254614264626,-129.0089968726236,-3801230000.0,172.9202765544039,0.40861108419437,156.7638522091551,-2.979891457299038,5015466000.0,36.59243506558886,317025000.0,,,,,,,2018.0,1.0,2018-10-10 12:00:00+00:00
4,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2018-11-30T00:00:00.000Z,2019-01-10T12:00:00.000Z,2019-01-10T12:00:00.000Z,2019-01-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第8期第2四半期(平成30年9月1日－平成30年11月30日),【14300】ファーストコーポレーション株式会社 平成31年５月期　第２四半期決算短信〔日本基準〕（非連結） ,Japan GAAP,13358509.0,13358540.0,31.0,12449329000.0,12286943000.0,6104574000.0,0.0,,,,,2474712000.0,,,,,,,162385000.0,37099000.0,,,,,21308000.0,,103977000.0,,,,,7099861000.0,1202000000.0,7053821000.0,0.0,,,,,800000000.0,,,400000000.0,,,,40915000.0,308746000.0,46040000.0,,,,,,2000000.0,,5349467000.0,5342847000.0,728769000.0,687430000.0,3926683000.0,-36000.0,,,8944969000.0,7542290000.0,1402679000.0,15.681205826426005,457758000.0,944920000.0,10.563703462806858,1196000.0,,15000.0,,,6313000.0,6313000.0,,939802000.0,,,,,,,,939802000.0,295360000.0,31.427896514372176,644442000.0,,644442000.0,7.204519098948246,-828514000.0,939802000.0,8591000.0,,-663760000.0,486344000.0,-1661119000.0,-3054000.0,-713000.0,,-950000.0,,,,,,,,,,-852677000.0,,,-1146000000.0,,,-36000.0,,-505640000.0,,-826851000.0,21499000000.0,1995000000.0,1989000000.0,1372000000.0,,95.49171992173677,399.95833367331636,2003591000.0,953511000.0,23.87541698274347,23.875256111728444,1.5274700347303858,2.330092738946109,10.246552243900053,19.534406228289217,9.50098967834939,-9.262346241781273,5.117491184150555,0.6124708504226555,0.0,0.6680988866782372,149.6784413115793,41.60644216010047,47.36441102756892,46.970991253644314,140.34739527884335,111.12898446429327,112.8973592658455,49.03536568115438,3.8522810581859663,0.0,55.96862975451798,0.0,2474712000.0,55.96862975451798,512.5738429607267,9.655138843226009,0.7585200592112622,-75.66639304221707,-4902574000.0,132.72001155995238,0.22497368912117455,174.18847175169316,-3.843266095810139,5342847000.0,42.916746757997956,1472956000.0,,,,,,,2018.0,2.0,2019-01-10 12:00:00+00:00
5,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2019-02-28T00:00:00.000Z,2019-04-10T12:00:00.000Z,2019-04-10T12:00:00.000Z,2019-04-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第8期第3四半期(平成30年12月1日－平成31年2月28日),【14300】ファーストコーポレーション株式会社 平成31年５月期第３四半期決算短信〔日本基準〕(非連結) ,Japan GAAP,13358509.0,13358540.0,31.0,11819891000.0,11676113000.0,3375152000.0,0.0,,,,,2537415000.0,,,,,,,143777000.0,34979000.0,,,,,19711000.0,,89086000.0,,,,,6249048000.0,1201625000.0,6201087000.0,0.0,,,,,800000000.0,,,400000000.0,,,,107705000.0,73514000.0,47960000.0,,,,,,1625000.0,,5570842000.0,5564222000.0,728769000.0,687430000.0,4148059000.0,-36000.0,,,13459410000.0,11469604000.0,1989805000.0,14.783746092882229,712653000.0,1277152000.0,9.488915190190358,6058000.0,,28000.0,,,8333000.0,8332000.0,,1274877000.0,,,,,,,,1274877000.0,409059000.0,32.08615419369869,865817000.0,,865817000.0,6.4328005462349385,,1274877000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21499000000.0,1995000000.0,1989000000.0,1372000000.0,,95.49171992173677,416.5301681497538,1995000000.0,1277152000.0,22.925523100983387,22.925374775935982,1.6088115364177216,2.12426660906053,10.792206121020913,18.896333304610643,9.122988658612112,0.0,5.294830902691872,0.0,0.0,0.6523890656711182,153.28276524243878,62.60481882878273,64.01764411027568,63.106195335276965,59.73211307182113,56.20693543133473,58.4630470411184,28.55484877144806,2.1298839391738853,0.0,57.386734564894915,0.0,2537415000.0,57.386734564894915,543.6398124589039,10.166125897438478,0.7582834160979476,-75.64278663839774,-2173527000.0,112.17348504131665,0.21595561787434076,188.29139149313662,-1.7038891462786536,5564222000.0,47.07507032002241,865817000.0,,,,,,,2018.0,3.0,2019-04-10 12:00:00+00:00
2,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2018-05-31T00:00:00.000Z,2019-07-18T16:14:00.000Z,2019-07-18T16:14:00.000Z,2018-07-09T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 訂正有価証券報告書－第7期(平成29年6月1日－平成30年5月31日),【14300】ファーストコーポレーション株式会社 平成30年５月期決算短信〔日本基準〕（非連結）,Japan GAAP,13358540.0,13358540.0,,13964262000.0,13784073000.0,7788821000.0,955762000.0,,183180000.0,772582000.0,,2600581000.0,,,,20605000.0,36838000.0,,180188000.0,40584000.0,15775000.0,,,,24751000.0,,114852000.0,,51206000.0,,62642000.0,8751576000.0,1550500000.0,8308856000.0,5846344000.0,,3010184000.0,2836160000.0,,,,1750000.0,1146000000.0,,,,91297000.0,370022000.0,442719000.0,,,,,400000000.0,2750000.0,,5212685000.0,5206065000.0,728769000.0,687430000.0,3789865000.0,,,,20818484000.0,17632361000.0,3186123000.0,15.304298814457383,939151000.0,2246971000.0,10.793153814658167,7018000.0,,18000.0,,,20001000.0,19755000.0,,2233988000.0,,,,,,,,2233988000.0,664181000.0,29.73073266284331,1569806000.0,,1569806000.0,7.540443386751888,6066798000.0,2233988000.0,16884000.0,,384915000.0,1339568000.0,2425823000.0,-1581000.0,-13418000.0,,-428000.0,,,,,,,,,,-2000624000.0,,400000000.0,-108000000.0,,,,,-491968000.0,,6080644000.0,25018000000.0,2418000000.0,2396000000.0,1649000000.0,38.0,117.51329112313172,389.7181129075483,2434884000.0,2263855000.0,30.153407612083218,,1.4908402606596753,2.6823065021278065,11.24159658419471,23.425956828654797,9.75063738159243,29.141401458434725,4.51114019637549,0.5299230444022406,0.0,0.8791835764680541,113.74188812958745,83.21402190422896,92.92684036393713,95.19745300181928,20.172054795152228,7.611535707403427,5.044827195207557,55.77681799439168,4.489560911351662,16.756894017835304,53.83352036633097,121.02267869855886,-2290001000.0,-50.43226431439258,512.9726986004337,11.103343663990263,0.8937250185940532,25.557139037759292,-6238321000.0,167.8899837607682,0.2978257090528067,165.89615947129184,-3.973943914088747,5206065000.0,37.28134719901417,-4496992000.0,129.0,161383596.89922482,17418379.84496124,,,,2017.0,4.0,2019-07-18 16:14:00+00:00
6,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2019-05-31T00:00:00.000Z,2019-08-26T15:00:00.000Z,2019-08-26T15:00:00.000Z,2019-07-09T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 有価証券報告書－第8期(平成30年6月1日－令和1年5月31日),【14300】ファーストコーポレーション株式会社 2019年５月期決算短信〔日本基準〕（非連結） ,Japan GAAP,13189309.0,13358540.0,169231.0,11221857000.0,11051473000.0,3990522000.0,920987000.0,,,920987000.0,,2298783000.0,,,,31681000.0,,,170383000.0,32861000.0,15775000.0,,,,17954000.0,,119567000.0,33000.0,61679000.0,,55375000.0,5390923000.0,2750000.0,5325416000.0,4264054000.0,,2282602000.0,1981452000.0,,,,1500000.0,,,,,92656000.0,309272000.0,65507000.0,,,,,,1250000.0,,5830933000.0,5824313000.0,728769000.0,687430000.0,4557869000.0,-149755000.0,,,19015977000.0,16138860000.0,2877117000.0,15.129998316678654,999659000.0,1877457000.0,9.873050435431217,7228000.0,,30000.0,,,10097000.0,9733000.0,,1874588000.0,,,,,,,,1874588000.0,598960000.0,31.951554154832955,1275627000.0,,1275627000.0,6.708185437960931,-1588552000.0,1874588000.0,17211000.0,,-1678666000.0,659322000.0,-1582290000.0,-4997000.0,-713000.0,,-1978000.0,,,,,,-33000.0,,,,-2204748000.0,,,-1546000000.0,,,-149755000.0,,-507242000.0,,-1585861000.0,20005000000.0,1282000000.0,1264000000.0,877000000.0,38.0,96.71674232516654,441.59349060667245,1299211000.0,1894668000.0,21.90175905724847,21.352736527270864,1.6945481483144902,1.9267262937276894,11.367343212446924,21.94067577439956,8.605199308484966,-8.353775354271832,5.256942622511586,0.5982029927875717,0.0,0.5184140036229858,192.89602383643276,95.05612096975756,146.447503900156,145.45347776510832,5.201010707995701,-31.716145829172117,-31.249495346210143,35.560264223648545,2.518212132881734,17.677779847966793,51.989780876716196,96.43678116050329,-1044284000.0,-26.7692204358203,578.6791941815526,0.024505748023700535,0.0017353828309741855,-0.1731136280084001,-3987772000.0,90.13884355779803,0.00047215869064729177,207.5231869209842,-3.12612699480334,5824313000.0,51.901507923332126,2864179000.0,138.0,137796934.7826087,13604760.869565217,,,,2018.0,4.0,2019-08-26 15:00:00+00:00
7,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2019-08-31T00:00:00.000Z,2019-10-10T12:00:00.000Z,2019-10-10T12:00:00.000Z,2019-10-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第9期第1四半期(令和1年6月1日－令和1年8月31日),【14300】ファーストコーポレーション株式会社 2020年５月期  第１四半期決算短信〔日本基準〕(非連結) ,Japan GAAP,13189309.0,13358540.0,169231.0,10228090000.0,10078304000.0,1598909000.0,0.0,,,,,3213767000.0,,,,,,,149785000.0,30762000.0,,,,,15776000.0,,103247000.0,,,,,4849776000.0,490875000.0,4287404000.0,0.0,,,,,,,,,,,,97355000.0,22359000.0,562372000.0,,,,,490000000.0,875000.0,,5378313000.0,5371693000.0,728769000.0,687430000.0,4105248000.0,-149755000.0,,,3030482000.0,2713719000.0,316763000.0,10.452561671707668,230695000.0,86067000.0,2.8400432670446483,509000.0,,6000.0,,,637000.0,604000.0,,85939000.0,,,,,,,,85939000.0,30936000.0,35.99762622325137,55003000.0,,55003000.0,1.8149918065839032,,85939000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20005000000.0,1282000000.0,1264000000.0,877000000.0,,66.11415351630627,407.2763023445732,1282000000.0,86067000.0,16.23324341134164,15.792958658670697,2.2895770373549706,1.9040719564576754,8.525540936773142,15.646726826878595,4.910671179458692,0.0,7.612485406611885,0.0,0.0,0.701778846712445,142.49503311258277,15.148622844288928,6.713494539781591,6.271721778791334,560.1260129576748,1389.5372210022424,1494.4584840826863,15.632527676232804,0.819323084806559,0.0,55.97454233673044,0.0,3213767000.0,55.97454233673044,761.2638970157988,4.799283150617565,0.2515372790161414,-8.975123617643552,-1108034000.0,87.73003515875709,0.09138180458190742,235.06774728950197,-1.2706811926605504,5371693000.0,52.51902359091483,55003000.0,,,,,,,2019.0,1.0,2019-10-10 12:00:00+00:00
8,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2019-11-30T00:00:00.000Z,2020-01-10T12:02:00.000Z,2020-01-10T12:02:00.000Z,2020-01-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第9期第2四半期(令和1年9月1日－令和1年11月30日),【14300】ファーストコーポレーション株式会社 2020年５月期　第２四半期決算短信〔日本基準〕(非連結),Japan GAAP,13027509.0,13358540.0,331031.0,12518720000.0,12342538000.0,2287414000.0,0.0,,,,,3106008000.0,,,,,,,176182000.0,28666000.0,,,,,13604000.0,,133912000.0,,,,,7161127000.0,2490509000.0,6586172000.0,0.0,,,,,2000000000.0,,,,,,,136339000.0,86410000.0,574954000.0,,,,,490000000.0,509000.0,,5357593000.0,5350973000.0,728769000.0,687430000.0,4195552000.0,-260779000.0,,,6774449000.0,6049360000.0,725089000.0,10.703291145892456,500784000.0,224304000.0,3.3110294283712225,1471000.0,,7000.0,,,3022000.0,2990000.0,,222752000.0,,,,,,,,222752000.0,77446000.0,34.767813532538426,145306000.0,,145306000.0,2.1449124497062417,-3555184000.0,222752000.0,8545000.0,,-1932824000.0,-832491000.0,-308531000.0,-20306000.0,,,,,,,,,,,,,1872382000.0,,490000000.0,,,,-111023000.0,,-505881000.0,,-3555184000.0,20005000000.0,1282000000.0,1264000000.0,877000000.0,,66.9352828695033,410.7441414932049,1290545000.0,232849000.0,16.296101662258433,15.538819249318216,1.870638531734874,2.3395221766209624,6.96556836481685,11.698043813656653,4.8692112630730895,-52.4793086493086,7.392246956173115,1.1784760215642494,0.0,1.333012340395178,75.0180602006689,33.86377905523619,17.49641185647426,16.568529076396807,195.30076911052103,471.5457593266281,503.5538793993366,18.271947930778865,1.1721311811427106,0.0,54.097691679024464,0.0,3106008000.0,54.097691679024464,816.925975022675,19.894278328774828,1.276202408403792,-45.53628957647838,203095000.0,127.45911093106686,0.4654310533803852,187.400784552848,0.2329071100917431,5350973000.0,42.74377092865724,3700490000.0,,,,,,,2019.0,2.0,2020-01-10 12:02:00+00:00
9,ファーストコーポレーション株式会社,代表取締役社長　中村　利秋,東京都杉並区荻窪四丁目30番16号,2020-02-29T00:00:00.000Z,2020-04-10T12:01:00.000Z,2020-04-10T12:01:00.000Z,2020-04-10T12:00:00.000Z,【E31306】ファーストコーポレーション株式会社 四半期報告書－第9期第3四半期(令和1年12月1日－令和2年2月29日),【14300】ファーストコーポレーション株式会社 2020年５月期 第３四半期決算短信〔日本基準〕（非連結）,Japan GAAP,13027509.0,13358540.0,331031.0,18842279000.0,18698628000.0,2638753000.0,0.0,,,,,6597573000.0,,,,,,,143650000.0,26622000.0,,,,,11432000.0,,105595000.0,,,,,13434232000.0,7740127000.0,11801979000.0,0.0,,,,,6200000000.0,,,,,,,384423000.0,,1632253000.0,,,,,1540000000.0,127000.0,,5408046000.0,5401426000.0,728769000.0,687430000.0,4246005000.0,-260779000.0,,,10614899000.0,9502905000.0,1111994000.0,10.47578502631066,789762000.0,322231000.0,3.035648290200406,2461000.0,,11000.0,,,8468000.0,8426000.0,,316224000.0,,,,,,,,316224000.0,120464000.0,38.09451528030763,195759000.0,,195759000.0,1.8441908867903498,,316224000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,20005000000.0,1282000000.0,1264000000.0,877000000.0,,66.9352828695033,414.6169463402405,1282000000.0,322231000.0,16.143884966673617,15.400360813499335,1.2428432887550387,3.48838973263727,4.627890288642897,6.980149149799875,4.823729511429018,0.0,7.440127315389435,0.0,0.0,2.6148942839143348,38.24246380251602,53.06122969257686,25.13502340093604,22.321436716077535,88.46151998243224,297.85123094922585,347.9998365336971,14.004425897737741,1.352166538560082,0.0,114.91067311605651,0.0,6597573000.0,114.91067311605651,879.6484110885733,41.07850754147096,3.966244939789905,-141.5199320422929,5101374000.0,236.9844191697574,1.4329784393973,158.43637749228327,5.850199541284404,5401426000.0,28.666521708971615,195759000.0,,,,,,,2019.0,3.0,2020-04-10 12:01:00+00:00
